,Code zone (FAO),Continent
0,202,Afrique
1,4,Afrique
2,7,Afrique
3,53,Afrique
4,20,Afrique
5,233,Afrique
6,29,Afrique
7,35,Afrique
8,32,Afrique
9,45,Afrique
10,46,Afrique
11,107,Afrique
12,72,Afrique
13,59,Afrique
14,178,Afrique
15,209,Afrique
16,238,Afrique
17,74,Afrique
18,75,Afrique
19,81,Afrique
20,90,Afrique
21,61,Afrique
22,175,Afrique
23,114,Afrique
24,122,Afrique
25,123,Afrique
26,124,Afrique
27,129,Afrique
28,130,Afrique
29,133,Afrique
30,143,Afrique
31,137,Afrique
32,136,Afrique
33,270,Afrique
34,144,Afrique
35,147,Afrique
36,158,Afrique
37,159,Afrique
38,226,Afrique
39,37,Afrique
40,250,Afrique
41,215,Afrique
42,182,Afrique
43,184,Afrique
44,205,Afrique
45,187,Afrique
46,193,Afrique
47,195,Afrique
48,196,Afrique
49,197,Afrique
50,201,Afrique
51,276,Afrique
52,277,Afrique
53,39,Afrique
54,217,Afrique
55,222,Afrique
56,251,Afrique
57,181,Afrique
0,258,Amerique
1,8,Amerique
2,151,Amerique
3,9,Amerique
4,22,Amerique
5,12,Amerique
6,14,Amerique
7,23,Amerique
8,17,Amerique
9,19,Amerique
10,278,Amerique
11,21,Amerique
12,33,Amerique
13,40,Amerique
14,44,Amerique
15,48,Amerique
16,49,Amerique
17,279,Amerique
18,55,Amerique
19,60,Amerique
20,58,Amerique
21,231,Amerique
22,86,Amerique
23,85,Amerique
24,87,Amerique
25,89,Amerique
26,91,Amerique
27,69,Amerique
28,93,Amerique
29,95,Amerique
30,36,Amerique
31,65,Amerique
32,224,Amerique
33,240,Amerique
34,239,Amerique
35,109,Amerique
36,135,Amerique
37,138,Amerique
38,142,Amerique
39,157,Amerique
40,166,Amerique
41,169,Amerique
42,170,Amerique
43,177,Amerique
44,56,Amerique
45,282,Amerique
46,189,Amerique
47,188,Amerique
48,281,Amerique
49,190,Amerique
50,191,Amerique
51,280,Amerique
52,207,Amerique
53,220,Amerique
54,234,Amerique
55,236,Amerique
0,2,Asie
1,194,Asie
2,1,Asie
3,52,Asie
4,13,Asie
5,16,Asie
6,18,Asie
7,26,Asie
8,115,Asie
9,96,Asie
10,128,Asie
11,41,Asie
12,214,Asie
13,50,Asie
14,225,Asie
15,73,Asie
16,100,Asie
17,101,Asie
18,102,Asie
19,103,Asie
20,105,Asie
21,110,Asie
22,112,Asie
23,108,Asie
24,113,Asie
25,118,Asie
26,121,Asie
27,131,Asie
28,132,Asie
29,141,Asie
30,28,Asie
31,149,Asie
32,221,Asie
33,235,Asie
34,165,Asie
35,299,Asie
36,171,Asie
37,179,Asie
38,212,Asie
39,117,Asie
40,120,Asie
41,116,Asie
42,200,Asie
43,38,Asie
44,208,Asie
45,216,Asie
46,176,Asie
47,213,Asie
48,223,Asie
49,237,Asie
50,249,Asie
0,3,Europe
1,79,Europe
2,6,Europe
3,11,Europe
4,57,Europe
5,255,Europe
6,80,Europe
7,27,Europe
8,98,Europe
9,54,Europe
10,203,Europe
11,63,Europe
12,185,Europe
13,67,Europe
14,68,Europe
15,82,Europe
16,84,Europe
17,97,Europe
18,264,Europe
19,259,Europe
20,64,Europe
21,104,Europe
22,99,Europe
23,106,Europe
24,119,Europe
25,125,Europe
26,126,Europe
27,256,Europe
28,154,Europe
29,134,Europe
30,140,Europe
31,273,Europe
32,162,Europe
33,150,Europe
34,173,Europe
35,174,Europe
36,146,Europe
37,183,Europe
38,229,Europe
39,192,Europe
40,94,Europe
41,272,Europe
42,199,Europe
43,198,Europe
44,210,Europe
45,211,Europe
46,167,Europe
47,230,Europe
0,10,Oceanie
1,66,Oceanie
2,88,Oceanie
3,47,Oceanie
4,163,Oceanie
5,127,Oceanie
6,25,Oceanie
7,243,Oceanie
8,83,Oceanie
9,145,Oceanie
10,148,Oceanie
11,160,Oceanie
12,153,Oceanie
13,156,Oceanie
14,180,Oceanie
15,168,Oceanie
16,70,Oceanie
17,244,Oceanie
18,5,Oceanie
19,218,Oceanie
20,219,Oceanie
21,227,Oceanie
22,155,Oceanie
