,Code ISO3,distance_france
0,ABW,7677.4868970011585
1,AFG,5594.223376940109
2,AGO,6478.953877303544
3,AIA,6710.883702059914
4,ALB,1603.9445348527304
5,AND,708.2136606010841
6,ARE,5251.803241963836
7,ARG,11025.34799356743
8,ARM,3439.396932479335
9,ASM,16117.69890937777
10,ATA,16705.41193844129
11,ATF,12671.143344440748
12,ATG,6711.070955370653
13,AUS,16957.684336079685
14,AUT,1036.7114004480852
15,AZE,3822.723035369797
16,BDI,6350.316271174833
17,BEL,264.60080812869614
18,BEN,4709.456098100975
19,BES,7583.539940993613
20,BFA,4061.676161050873
21,BGD,7924.215031921056
22,BGR,1761.6849969741404
23,BHR,4838.4997969926735
24,BHS,7219.128523627164
25,BIH,1348.4531278314864
26,BLM,6721.43792440286
27,BLR,1832.066997418981
28,BLZ,8602.730299172486
29,BMU,5757.850395913444
30,BOL,9804.137957333976
31,BRA,9377.800449457269
32,BRB,6879.395369613275
33,BTN,7574.056248916798
34,BWA,8472.241688871876
35,CAF,5165.367179057848
36,CAN,6016.729397683407
37,CCK,11345.038446448209
38,CHE,490.3051572409418
39,CHL,11626.95186243354
40,CHN,9283.66837451508
41,CIV,4644.913553646132
42,CMR,5014.662851395174
43,COD,5786.761153256044
44,COG,6017.566942049669
45,COK,16554.083286190387
46,COL,8632.231621548903
47,COM,7817.387361880737
48,CPV,4441.018222520986
49,CRI,8924.32332785928
50,CUB,7732.601394877667
51,CUW,7635.610050777584
52,CXR,11850.242480304856
53,CYM,7965.822157261811
54,CYP,2954.972339361824
55,CZE,884.6712765539083
56,DEU,880.6348377313323
57,DJI,5585.295234625766
58,DMA,6825.451889558957
59,DNK,1028.875241451911
60,DOM,7195.945570008284
61,DZA,1345.460396840735
62,ECU,9626.173815941753
63,EGY,3211.8949539918885
64,ERI,4986.363651159112
65,ESH,2755.8059817863746
66,ESP,1052.5193707454782
67,EST,1863.3928714983929
68,ETH,5566.295818992482
69,FIN,1913.2223674404668
70,FJI,16579.284152489432
71,FRA,0.0
72,FRO,1570.8052340487588
73,FSM,13097.73567824206
74,GAB,5413.10794343878
75,GBR,344.13671929477766
76,GEO,3380.409410958308
77,GGY,362.5124729818627
78,GHA,4804.996217372761
79,GIB,1545.1971064136667
80,GIN,4608.603754100458
81,GLP,6754.874561481289
82,GMB,4315.300487218583
83,GNB,4424.558078798376
84,GNQ,5255.33132345169
85,GRC,2098.682094076777
86,GRD,7119.02994352409
87,GRL,3593.213334312094
88,GTM,9003.536192645128
89,GUF,7074.181338838301
90,GUM,12175.737944354156
91,GUY,7308.347595567112
92,HKG,9645.855847801404
93,HND,8810.996301715875
94,HRV,1082.351382449003
95,HTI,7365.019670570502
96,HUN,1247.8958636969794
97,IDN,11587.344997234257
98,IMN,755.802072038587
99,IND,7018.087215148726
100,IOT,9200.575793533852
101,IRL,780.8404814026246
102,IRN,4219.837255194875
103,IRQ,3866.5190234844663
104,ISL,2235.750568645041
105,ISR,3336.150736956765
106,ITA,1108.2871423542863
107,JAM,7735.035941673804
108,JEY,327.8207861442343
109,JOR,3371.450997700972
110,JPN,9736.095008358809
111,KAZ,5569.873427410249
112,KEN,6468.625814574675
113,KGZ,5435.402046927498
114,KHM,9950.10088477859
115,KIR,14371.435419590618
116,KNA,6760.803027213363
117,KWT,4441.333446790804
118,LBN,3195.4009530870703
119,LBR,4877.000396989706
120,LBY,1991.1849799422453
121,LCA,6905.087769993497
122,LIE,565.9736774150009
123,LKA,8517.073453724008
124,LSO,9011.89679816866
125,LTU,1701.1031542717733
126,LUX,287.97218619742915
127,LVA,1707.6146626873615
128,MAC,9614.59290609614
129,MAR,1886.0599155519424
130,MCO,689.8624402473889
131,MDA,1981.3780593544295
132,MDG,8737.570231045007
133,MDV,8287.078263367535
134,MEX,9210.212311690935
135,MHL,13715.440154828751
136,MKD,1670.2480314397362
137,MLI,4126.408657899785
138,MLT,1746.3879029865366
139,MMR,8892.671881101749
140,MNE,1494.1820074858392
141,MNG,7068.194245593833
142,MNP,12046.788579361662
143,MOZ,8815.865950120251
144,MRT,3791.8545831060383
145,MSR,6763.90970960698
146,MTQ,6859.478864925175
147,MUS,9391.70520092697
148,MWI,7617.56943385604
149,MYS,10218.080770299972
150,MYT,8023.120464679938
151,NAM,8043.870642879994
152,NCL,16741.055309527303
153,NER,3918.8489300815936
154,NFK,17491.37779223539
155,NGA,4700.791411696972
156,NIC,8901.602440580886
157,NIU,16627.49877110643
158,NLD,430.8868174186738
159,NOR,1344.0193753201454
160,NPL,7250.639414944126
161,NRU,14449.414351687688
162,NZL,18540.082536547023
163,OMN,5617.317855327824
164,PAK,6138.327507388379
165,PAN,8667.068170887462
166,PCN,15137.857421335966
167,PER,10244.71938525178
168,PHL,10757.788048423185
169,PLW,12240.06463987384
170,PNG,14554.184607952126
171,POL,1370.877920549216
172,PRI,6913.874949740097
173,PRT,1453.608067840921
174,PRY,10140.87544120168
175,PSE,3336.2335521943032
176,PYF,15715.091495813282
177,QAT,4978.412082450285
178,REU,9344.065814815627
179,ROU,1875.527312117869
180,RUS,2493.9222564177
181,RWA,6230.8553751410245
182,SAU,4686.61814600551
183,SDN,4601.584868255311
184,SEN,4198.491690942898
185,SGP,10741.602367173547
186,SGS,11996.93489224741
187,SHN,7219.905351913741
188,SJM,3319.8152932053927
189,SLB,15164.47642282469
190,SLE,4706.993622913998
191,SLV,8986.492433418054
192,SMR,948.3460083036492
193,SOM,6605.304029337531
194,SPM,4279.251160288279
195,SRB,1449.5750798258675
196,SSD,5606.139603474133
197,STP,5392.539591627174
198,SUR,7183.4474998233845
199,SVK,1091.7075319028338
200,SVN,966.9484415543828
201,SWE,1547.1465704204822
202,SWZ,8831.640817289363
203,SYC,7832.678016742318
204,SYR,3149.9856775892586
205,TCA,7046.796039558088
206,TCD,4240.1927726454
207,TGO,4735.869183399022
208,THA,9454.494023739886
209,TJK,5300.768490334116
210,TKL,15509.648726262065
211,TKM,4587.014681902099
212,TLS,13117.527550429584
213,TON,16921.497043668947
214,TTO,7218.511268686407
215,TUN,1479.8872735182888
216,TUR,2258.5375380039864
217,TUV,15523.57561023456
218,TWN,9846.953400131317
219,TZA,7138.574821661231
220,UGA,6108.916305131615
221,UKR,2029.9641440004816
222,URY,10936.072797490044
223,USA,5852.736948253714
224,UZB,5161.588379370049
225,VCT,6989.955338047891
226,VEN,7619.687246310053
227,VNM,10132.814459785912
228,VUT,16329.381981006914
229,WLF,16057.156431811689
230,WSM,16083.468551459067
231,YEM,5311.607947329707
232,ZAF,9306.63852993811
233,ZMB,7565.182929193103
234,ZWE,7914.128381404803
